ADDRESS,BALANCE
0x0d0707963952f2fba59dd06f2b425ace40b492fe,9052311.1067869104444980621337890625
0x638f275d520e22f59659120b28b14b547849213c,91252.012100000007194466888904571533203125
0x0d0707963952f2fba59dd06f2b425ace40b492fe,9052311.1067869104444980621337890625
0xf2e03129777927edca1faaa10058dbfa56ee0c63,0
0x689c56aef474df92d44a1b70850f808488f9769c,68722026.4466823041439056396484375
0x6490614d4dcff896cf39ebe79da17939846057f6,0
0x8eae7c4d1020aab98967e8d1cedbcc81f80e15aa,777933.029298500041477382183074951171875
0xfc522a6fd94792dd54e6c766be0cdbb785f19ab1,0
0x689c56aef474df92d44a1b70850f808488f9769c,68722026.4466823041439056396484375
0xa8b4adab082c75d9b6bae157a4d221d1f65a8a3e,0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,9052311.1067869104444980621337890625
0xe01a930cae34aac6a53e4373b61a4eb0ceaefd2b,0
0xba4627cd158c48b87b8b754ec27d862c4dc534f3,0
0xba4627cd158c48b87b8b754ec27d862c4dc534f3,0
0x689c56aef474df92d44a1b70850f808488f9769c,68722026.4466823041439056396484375
0x689c56aef474df92d44a1b70850f808488f9769c,68722026.4466823041439056396484375
0x3b6f9521dadfe6dd63aa3dc36783b9e13aa0a83b,417.44819999999998572093318216502666473388671875
0x4014773ae161f318db6da1a934fc27f97049f3e7,0
0x0d0707963952f2fba59dd06f2b425ace40b492fe,9052311.1067869104444980621337890625
0x7f24ee67f9bd0910fa8ad500f56b913b6a92be4c,59582
0xf890d49ff822a1e7aa03ddd5cbbc2ef51848a681,7350000
0x0863e7210be720de0a971454e221551a965e647e,0
0xe7153060964159b55acce4cced5bb9d066a6d3fe,2141.47460000000000945874489843845367431640625
0x689c56aef474df92d44a1b70850f808488f9769c,68722026.4466823041439056396484375
0x76cc0e458d35af0c96ed7d965ccf64ff7738de01,82108.952040000003762543201446533203125
0x689c56aef474df92d44a1b70850f808488f9769c,68722026.4466823041439056396484375
0x3d9c90b8eaae5162ee53289339f44baece836e0b,0
0x689c56aef474df92d44a1b70850f808488f9769c,68722026.4466823041439056396484375
0xb8e75b5723e9138eab5a615fb9a11b0c333de4ad,585.18942379999998593120835721492767333984375
0xddeae2d4bd991965cf67442e4e0ba82e1f7826a2,0
0x783ccf724040d212bda39ee93f9e7c81e0cd717c,0
0x689c56aef474df92d44a1b70850f808488f9769c,68722026.4466823041439056396484375
